"common_name","species_name","sp","habitat_specif","body_size","diet","nest","stratum","frugivory","insectivory","lower_stratum"
"Giant Antshrike","Batara cinerea","Batara_cine","specialist",149,"insectivorous","open_semi","ground_under",0,70,60
"Plain Parakeet","Brotogeris tirica","Broto_tirica","generalist",63,"frugivorous","cavities","mid_canopy",30,10,20
"Yellow-chevroned Parakeed","Brotogeris chiriri","Brotoger_chi","generalist",68,"frugivorous","cavities","mid_canopy",50,0,60
"Golden-winged Cacique","Cacicus chrysopterus","Cacicus_chry","specialist",32.8,"onivorous","closed","mid_canopy",50,50,0
"Amethyst Woodstar","Calliphlox amethystina","Calli_ameth","generalist",2.7,"nectarivorous","open_semi","all",0,10,50
"Robust Woodpecker","Campephilus robustus","Campeph_rob","specialist",200,"insectivorous","cavities","mid_canopy",0,100,30
"Southern Beardless Tyrannulet","Camptostoma obsoletum","Campto_obso","generalist",7.4,"insectivorous","closed","ground_under",30,70,0
"Yellow Tyrannulet","Capsiempis flaveola","Capsiempsi_fla","generalist",8,"insectivorous","open_semi","ground_under",10,90,0
"Hooded Barryeater","Carpornis cucullata","Carpor_cuc","specialist",75.7,"frugivorous","open_semi","mid_canopy",80,20,50
"Blond-crested Woodpecker","Celeus flavescens","Celeus_fla","specialist",150,"insectivorous","cavities","all",30,70,50
"Short-tailed Antthrush","Chamaeza campanisona","Chamae_campa","specialist",91.1,"insectivorous","cavities","ground_under",30,70,100
"Cryptic Antthrush","Chamaeza meruloides","Chamaeza_meru","specialist",70.9,"insectivorous","cavities","ground_under",0,100,100
"Blue Manakin","Chiroxiphia caudata","Chirox_caud","specialist",25.6,"frugivorous","open_semi","ground_under",50,50,50
"Blue-naped Chlorophonia","Chlorophonia cyanea","Chlor_cyanea","generalist",14.5,"frugivorous","closed","mid_canopy",90,10,0
"Glittering-bellied Emerald","Chlorostilbon lucidus","Chlorost_luci","generalist",3.2,"nectarivorous","open_semi","all",0,10,0
"Magpie Tanager","Cissopis leverianus","Ciss_leverianus","specialist",71,"frugivorous","open_semi","mid_canopy",70,30,50
"Fuscous Flycather","Cnemotriccus fuscatus","Cnemo_fus","specialist",11.9,"insectivorous","open_semi","ground_under",0,100,80
"Bananaquit","Coereba flaveola","Coereba_fla","generalist",9.3,"nectarivorous","closed","all",0,30,80
"Scaled Dove","Columbina squammata","Col_squam","generalist",54,"granivorous","open_semi","ground_under",0,20,100
"Green-barred Woodpecker","Colaptes melanochloros","Colapt_melan","generalist",113.7,"insectivorous","cavities","all",10,80,50
"White-vented Violet-ear","Colibri serrirostris","Colib_serr","generalist",6.7,"nectarivorous","open_semi","mid_canopy",0,10,70
"Long-tailed Tyrant","Colonia colonus","Colonia_col","generalist",16.5,"insectivorous","cavities","mid_canopy",0,100,30
"Chestnut-vented Conebill","Conirostrum speciosum","Conir_spe","specialist",8.4,"insectivorous","open_semi","mid_canopy",10,70,80
"Rufous Gnateater","Conopophaga lineata","Conop_line","specialist",22.1,"insectivorous","open_semi","ground_under",0,100,100
"Southern Antpipit","Corythopis delalandi","Corytop_del","specialist",14.9,"insectivorous","closed","ground_under",0,90,100
"Pallid Spinetail","Cranioleuca pallida","Cran_palid","specialist",11.5,"insectivorous","closed","mid_canopy",0,100,0
